id,percentage_column,bst_time,day_of_week,current_date_bst,temperature,humidity,chance_of_rain,wind
539,59,1145,1,2024-09-10,6,72,10,15
540,39,1166,1,2024-09-10,6,71,9,15
541,32,1185,1,2024-09-10,6,72,8,15
542,35,1205,1,2024-09-10,6,73,5,14
543,30,1225,1,2024-09-10,6,73,5,14
544,27,1245,1,2024-09-10,6,74,5,13
545,26,1266,1,2024-09-10,5,74,5,13
546,24,1286,1,2024-09-10,6,75,10,11
547,17,1305,1,2024-09-10,5,75,16,12
548,9,365,2,2024-09-11,14,60,55,18
549,10,385,2,2024-09-11,14,60,62,18
550,14,405,2,2024-09-11,14,59,16,18
551,29,425,2,2024-09-11,14,59,17,18
552,31,446,2,2024-09-11,14,59,36,18
553,41,466,2,2024-09-11,14,59,36,18
554,38,486,2,2024-09-11,6,72,8,15
555,25,505,2,2024-09-11,15,57,49,18
556,25,525,2,2024-09-11,15,57,49,18
557,21,545,2,2024-09-11,15,55,24,17
558,33,565,2,2024-09-11,14,54,9,17
559,32,585,2,2024-09-11,14,54,15,17
560,32,605,2,2024-09-11,14,52,24,17
561,38,625,2,2024-09-11,14,52,24,17
562,42,645,2,2024-09-11,14,51,24,18
563,53,666,2,2024-09-11,14,51,24,18
564,42,685,2,2024-09-11,14,51,24,18
565,40,706,2,2024-09-11,14,50,24,18
566,35,725,2,2024-09-11,14,50,24,18
567,30,745,2,2024-09-11,14,52,24,18
568,32,765,2,2024-09-11,14,52,24,18
569,30,785,2,2024-09-11,14,51,33,18
570,35,805,2,2024-09-11,14,50,32,17
571,36,825,2,2024-09-11,14,50,35,17
572,37,845,2,2024-09-11,14,50,35,17
573,35,865,2,2024-09-11,14,52,44,15
574,40,885,2,2024-09-11,14,54,44,19
575,49,905,2,2024-09-11,14,53,24,20
576,65,925,2,2024-09-11,5,68,50,16
577,68,946,2,2024-09-11,5,68,50,16
578,66,965,2,2024-09-11,5,68,50,16
579,66,985,2,2024-09-11,5,68,62,13
580,62,1005,2,2024-09-11,5,68,62,13
581,66,1025,2,2024-09-11,5,68,62,13
582,61,1045,2,2024-09-11,5,69,48,13
583,65,1065,2,2024-09-11,5,69,62,14
584,55,1085,2,2024-09-11,5,70,71,13
585,49,1105,2,2024-09-11,5,72,58,11
586,53,1126,2,2024-09-11,5,72,65,11
587,56,1146,2,2024-09-11,5,72,64,11
588,51,1165,2,2024-09-11,5,73,62,15
589,49,1185,2,2024-09-11,5,74,48,15
590,43,1205,2,2024-09-11,5,74,66,11
591,45,1226,2,2024-09-11,5,74,57,10
592,37,1245,2,2024-09-11,5,74,66,10
593,36,1265,2,2024-09-11,5,74,66,10
594,38,1285,2,2024-09-11,5,75,73,10
595,44,1305,2,2024-09-11,5,75,73,10
596,30,366,3,2024-09-12,14,59,7,12
597,31,385,3,2024-09-12,14,60,52,12
598,40,405,3,2024-09-12,14,60,52,12
599,49,425,3,2024-09-12,14,57,55,12
600,52,445,3,2024-09-12,14,57,55,12
601,52,465,3,2024-09-12,14,55,44,12
602,44,485,3,2024-09-12,14,55,44,12
603,42,505,3,2024-09-12,14,54,24,12
604,48,525,3,2024-09-12,14,52,8,12
605,49,545,3,2024-09-12,14,52,4,12
606,50,565,3,2024-09-12,14,51,6,11
607,50,585,3,2024-09-12,14,51,6,11
608,60,605,3,2024-09-12,13,49,7,12
609,64,625,3,2024-09-12,13,49,7,12
610,68,645,3,2024-09-12,13,49,8,12
611,65,665,3,2024-09-12,13,48,10,12
612,67,685,3,2024-09-12,13,48,40,12
613,73,705,3,2024-09-12,13,48,40,12
614,69,725,3,2024-09-12,13,47,37,12
615,65,745,3,2024-09-12,13,48,15,12
616,63,765,3,2024-09-12,13,47,46,12
617,65,785,3,2024-09-12,13,48,42,14
618,66,805,3,2024-09-12,13,47,52,12
